a accidentIndex
b sexOfDriver
c ageOfDriver
d ageOfVehicle
e accidentSeverity
f speedLimit
g didPoliceOfficerAttendSceneOfAccident

a             b   c    d    e   f    g
201501EO40474 1.0 49.0 11.0 3.0 30.0 1.0
201501EO40474 1.0 60.0 2.0 3.0 30.0 1.0
201501EO40475 1.0 40.0 -1.0 3.0 30.0 1.0
201501EO40476 1.0 34.0 4.0 3.0 20.0 1.0
201501EO40479 1.0 36.0 23.0 3.0 30.0 1.0
201501EO40479 1.0 49.0 -1.0 3.0 30.0 1.0
201501EO40479 1.0 52.0 -1.0 3.0 30.0 1.0
201501EO40481 1.0 28.0 3.0 3.0 20.0 1.0
201501EO40481 1.0 54.0 13.0 3.0 20.0 1.0
201501EO40482 1.0 32.0 6.0 3.0 30.0 1.0
201501EO40482 1.0 33.0 5.0 3.0 30.0 1.0
201501EO40483 1.0 70.0 -1.0 2.0 30.0 1.0
201501EO40484 1.0 60.0 -1.0 3.0 30.0 1.0
201501EO40484 1.0 24.0 1.0 3.0 30.0 1.0
201501EO40485 1.0 65.0 -1.0 3.0 30.0 1.0
201501EO40485 1.0 17.0 4.0 3.0 30.0 1.0
201501EO40485 3.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40486 1.0 32.0 6.0 3.0 20.0 1.0
201501EO40486 1.0 30.0 1.0 3.0 20.0 1.0
201501EO40487 1.0 27.0 12.0 3.0 30.0 1.0
201501EO40488 1.0 37.0 14.0 3.0 30.0 1.0
201501EO40488 1.0 42.0 -1.0 3.0 30.0 1.0
201501EO40489 1.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40489 1.0 30.0 -1.0 3.0 30.0 1.0
201501EO40490 1.0 20.0 3.0 3.0 30.0 1.0
201501EO40490 1.0 40.0 8.0 3.0 30.0 1.0
201501EO40491 2.0 45.0 -1.0 3.0 30.0 1.0
201501EO40491 2.0 45.0 -1.0 3.0 30.0 1.0
201501EO40491 1.0 41.0 8.0 3.0 30.0 1.0
201501EO40493 1.0 22.0 17.0 3.0 20.0 1.0
201501EO40493 1.0 25.0 -1.0 3.0 20.0 1.0
201501EO40494 1.0 40.0 -1.0 2.0 20.0 2.0
201501EO40494 1.0 -1.0 5.0 2.0 20.0 2.0
201501EO40495 1.0 45.0 4.0 3.0 30.0 1.0
201501EO40495 1.0 49.0 2.0 3.0 30.0 1.0
201501EO40496 2.0 52.0 10.0 3.0 30.0 2.0
201501EO40496 1.0 -1.0 10.0 3.0 30.0 2.0
201501EO40497 1.0 35.0 8.0 3.0 20.0 2.0
201501EO40497 1.0 35.0 -1.0 3.0 20.0 2.0
201501EO40499 1.0 30.0 -1.0 3.0 20.0 2.0
201501EO40499 1.0 -1.0 -1.0 3.0 20.0 2.0
201501EO40500 1.0 48.0 3.0 3.0 30.0 1.0
201501EO40501 2.0 53.0 -1.0 3.0 20.0 1.0
201501EO40502 1.0 20.0 -1.0 3.0 30.0 1.0
201501EO40503 2.0 51.0 17.0 3.0 20.0 1.0
201501EO40503 2.0 51.0 17.0 3.0 20.0 1.0
201501EO40503 1.0 29.0 15.0 3.0 20.0 1.0
201501EO40504 1.0 32.0 -1.0 3.0 20.0 1.0
201501EO40504 2.0 -1.0 7.0 3.0 20.0 1.0
201501EO40505 1.0 28.0 3.0 3.0 30.0 1.0
201501EO40505 1.0 40.0 -1.0 3.0 30.0 1.0
201501EO40506 1.0 31.0 7.0 3.0 30.0 1.0
201501EO40506 1.0 38.0 -1.0 3.0 30.0 1.0
201501EO40507 1.0 85.0 11.0 3.0 30.0 1.0
201501EO40507 1.0 17.0 7.0 3.0 30.0 1.0
201501EO40508 1.0 28.0 -1.0 3.0 20.0 2.0
201501EO40508 1.0 -1.0 11.0 3.0 20.0 2.0
201501EO40509 1.0 46.0 1.0 3.0 30.0 2.0
201501EO40509 1.0 -1.0 2.0 3.0 30.0 2.0
201501EO40510 1.0 31.0 -1.0 3.0 20.0 1.0
201501EO40510 3.0 -1.0 -1.0 3.0 20.0 1.0
201501EO40511 1.0 39.0 -1.0 3.0 30.0 2.0
201501EO40511 1.0 -1.0 -1.0 3.0 30.0 2.0
201501EO40512 1.0 34.0 1.0 3.0 20.0 1.0
201501EO40513 1.0 32.0 -1.0 3.0 30.0 2.0
201501EO40513 1.0 -1.0 -1.0 3.0 30.0 2.0
201501EO40514 1.0 27.0 -1.0 2.0 20.0 2.0
201501EO40514 1.0 -1.0 -1.0 2.0 20.0 2.0
201501EO40515 1.0 49.0 4.0 3.0 20.0 1.0
201501EO40515 2.0 55.0 -1.0 3.0 20.0 1.0
201501EO40516 1.0 51.0 5.0 3.0 30.0 1.0
201501EO40516 1.0 14.0 -1.0 3.0 30.0 1.0
201501EO40517 1.0 33.0 16.0 3.0 20.0 1.0
201501EO40517 1.0 25.0 7.0 3.0 20.0 1.0
201501EO40518 1.0 63.0 10.0 3.0 20.0 1.0
201501EO40519 1.0 41.0 -1.0 3.0 30.0 1.0
201501EO40519 1.0 -1.0 2.0 3.0 30.0 1.0
201501EO40520 1.0 25.0 5.0 3.0 20.0 1.0
201501EO40520 1.0 25.0 -1.0 3.0 20.0 1.0
201501EO40521 1.0 24.0 2.0 3.0 30.0 1.0
201501EO40521 2.0 59.0 2.0 3.0 30.0 1.0
201501EO40522 3.0 -1.0 8.0 3.0 30.0 1.0
201501EO40522 1.0 38.0 -1.0 3.0 30.0 1.0
201501EO40523 1.0 48.0 2.0 3.0 30.0 1.0
201501EO40524 1.0 30.0 5.0 3.0 30.0 1.0
201501EO40524 1.0 -1.0 5.0 3.0 30.0 1.0
201501EO40525 1.0 39.0 2.0 3.0 30.0 1.0
201501EO40525 2.0 25.0 -1.0 3.0 30.0 1.0
201501EO40526 1.0 46.0 12.0 3.0 30.0 1.0
201501EO40526 1.0 35.0 -1.0 3.0 30.0 1.0
201501EO40527 2.0 41.0 14.0 3.0 20.0 1.0
201501EO40527 1.0 45.0 2.0 3.0 20.0 1.0
201501EO40528 1.0 41.0 -1.0 3.0 20.0 1.0
201501EO40528 1.0 47.0 7.0 3.0 20.0 1.0
201501EO40532 1.0 33.0 1.0 3.0 30.0 1.0
201501EO40532 1.0 29.0 5.0 3.0 30.0 1.0
201501EO40533 1.0 28.0 -1.0 3.0 30.0 1.0
201501EO40533 3.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40534 1.0 47.0 3.0 3.0 20.0 1.0
201501EO40534 3.0 -1.0 1.0 3.0 20.0 1.0
201501EO40535 2.0 58.0 -1.0 2.0 30.0 1.0
201501EO40536 1.0 25.0 -1.0 2.0 30.0 2.0
201501EO40536 2.0 -1.0 -1.0 2.0 30.0 2.0
201501EO40538 1.0 27.0 17.0 3.0 30.0 1.0
201501EO40539 1.0 57.0 6.0 2.0 20.0 1.0
201501EO40539 1.0 -1.0 -1.0 2.0 20.0 1.0
201501EO40540 1.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40541 1.0 42.0 -1.0 3.0 30.0 1.0
201501EO40541 1.0 37.0 -1.0 3.0 30.0 1.0
201501EO40542 1.0 43.0 8.0 2.0 30.0 1.0
201501EO40544 1.0 62.0 5.0 3.0 30.0 1.0
201501EO40544 1.0 29.0 -1.0 3.0 30.0 1.0
201501EO40546 1.0 22.0 16.0 3.0 30.0 1.0
201501EO40546 2.0 27.0 -1.0 3.0 30.0 1.0
201501EO40548 2.0 56.0 2.0 3.0 30.0 1.0
201501EO40548 1.0 49.0 4.0 3.0 30.0 1.0
201501EO40549 2.0 46.0 7.0 3.0 30.0 2.0
201501EO40549 1.0 -1.0 2.0 3.0 30.0 2.0
201501EO40550 1.0 29.0 -1.0 3.0 30.0 1.0
201501EO40550 1.0 40.0 8.0 3.0 30.0 1.0
201501EO40551 1.0 69.0 3.0 3.0 30.0 1.0
201501EO40552 1.0 50.0 10.0 2.0 30.0 1.0
201501EO40554 1.0 29.0 8.0 3.0 30.0 1.0
201501EO40554 1.0 38.0 7.0 3.0 30.0 1.0
201501EO40556 2.0 18.0 -1.0 3.0 30.0 1.0
201501EO40556 1.0 47.0 3.0 3.0 30.0 1.0
201501EO40557 1.0 25.0 -1.0 2.0 30.0 2.0
201501EO40557 3.0 -1.0 -1.0 2.0 30.0 2.0
201501EO40558 1.0 20.0 5.0 3.0 30.0 1.0
201501EO40559 1.0 51.0 7.0 2.0 30.0 1.0
201501EO40560 1.0 45.0 2.0 3.0 30.0 2.0
201501EO40560 1.0 35.0 -1.0 3.0 30.0 2.0
201501EO40561 1.0 -1.0 -1.0 3.0 30.0 2.0
201501EO40561 1.0 23.0 -1.0 3.0 30.0 2.0
201501EO40562 1.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40562 2.0 31.0 -1.0 3.0 30.0 1.0
201501EO40563 1.0 52.0 3.0 3.0 30.0 1.0
201501EO40563 2.0 28.0 -1.0 3.0 30.0 1.0
201501EO40564 2.0 28.0 -1.0 3.0 30.0 1.0
201501EO40566 2.0 32.0 -1.0 3.0 30.0 1.0
201501EO40566 1.0 27.0 -1.0 3.0 30.0 1.0
201501EO40567 2.0 -1.0 -1.0 3.0 30.0 2.0
201501EO40567 3.0 -1.0 -1.0 3.0 30.0 2.0
201501EO40567 3.0 -1.0 -1.0 3.0 30.0 2.0
201501EO40568 2.0 19.0 -1.0 3.0 20.0 2.0
201501EO40568 1.0 -1.0 4.0 3.0 20.0 2.0
201501EO40569 1.0 -1.0 -1.0 3.0 30.0 2.0
201501EO40569 1.0 -1.0 -1.0 3.0 30.0 2.0
201501EO40570 2.0 50.0 6.0 3.0 30.0 1.0
201501EO40570 1.0 49.0 1.0 3.0 30.0 1.0
201501EO40573 1.0 24.0 9.0 3.0 30.0 1.0
201501EO40573 1.0 47.0 -1.0 3.0 30.0 1.0
201501EO40575 1.0 52.0 6.0 3.0 30.0 1.0
201501EO40575 2.0 42.0 13.0 3.0 30.0 1.0
201501EO40575 2.0 33.0 -1.0 3.0 30.0 1.0
201501EO40577 1.0 56.0 -1.0 3.0 30.0 1.0
201501EO40577 3.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40579 1.0 36.0 4.0 3.0 30.0 1.0
201501EO40579 2.0 22.0 9.0 3.0 30.0 1.0
201501EO40580 1.0 40.0 -1.0 3.0 30.0 2.0
201501EO40580 1.0 30.0 11.0 3.0 30.0 2.0
201501EO40581 1.0 33.0 12.0 2.0 20.0 2.0
201501EO40581 1.0 -1.0 17.0 2.0 20.0 2.0
201501EO40582 2.0 42.0 -1.0 3.0 30.0 1.0
201501EO40582 1.0 23.0 2.0 3.0 30.0 1.0
201501EO40583 1.0 25.0 7.0 3.0 30.0 1.0
201501EO40584 1.0 40.0 5.0 3.0 20.0 1.0
201501EO40585 1.0 36.0 3.0 2.0 20.0 1.0
201501EO40585 1.0 46.0 -1.0 2.0 20.0 1.0
201501EO40586 1.0 26.0 -1.0 3.0 20.0 1.0
201501EO40586 1.0 44.0 1.0 3.0 20.0 1.0
201501EO40588 2.0 24.0 -1.0 3.0 30.0 1.0
201501EO40588 3.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40589 1.0 58.0 5.0 3.0 30.0 1.0
201501EO40589 1.0 48.0 -1.0 3.0 30.0 1.0
201501EO40592 1.0 63.0 15.0 3.0 30.0 1.0
201501EO40592 1.0 58.0 -1.0 3.0 30.0 1.0
201501EO40593 1.0 15.0 -1.0 3.0 30.0 1.0
201501EO40593 1.0 27.0 2.0 3.0 30.0 1.0
201501EO40594 1.0 40.0 7.0 3.0 30.0 1.0
201501EO40595 1.0 20.0 1.0 3.0 30.0 1.0
201501EO40596 1.0 21.0 3.0 3.0 30.0 1.0
201501EO40596 1.0 25.0 12.0 3.0 30.0 1.0
201501EO40598 1.0 23.0 9.0 3.0 30.0 1.0
201501EO40598 1.0 23.0 -1.0 3.0 30.0 1.0
201501EO40599 1.0 24.0 -1.0 3.0 30.0 1.0
201501EO40600 1.0 24.0 6.0 3.0 30.0 1.0
201501EO40600 2.0 34.0 7.0 3.0 30.0 1.0
201501EO40601 1.0 21.0 17.0 3.0 30.0 2.0
201501EO40601 1.0 -1.0 1.0 3.0 30.0 2.0
201501EO40602 1.0 40.0 1.0 3.0 30.0 1.0
201501EO40602 1.0 36.0 3.0 3.0 30.0 1.0
201501EO40603 1.0 37.0 1.0 3.0 30.0 1.0
201501EO40603 1.0 69.0 -1.0 3.0 30.0 1.0
201501EO40604 1.0 33.0 13.0 3.0 30.0 1.0
201501EO40604 1.0 47.0 3.0 3.0 30.0 1.0
201501EO40604 1.0 53.0 -1.0 3.0 30.0 1.0
201501EO40605 1.0 21.0 17.0 3.0 30.0 1.0
201501EO40605 1.0 39.0 -1.0 3.0 30.0 1.0
201501EO40606 1.0 48.0 -1.0 3.0 30.0 1.0
201501EO40606 1.0 41.0 11.0 3.0 30.0 1.0
201501EO40606 2.0 56.0 6.0 3.0 30.0 1.0
201501EO40607 1.0 27.0 12.0 3.0 30.0 1.0
201501EO40607 1.0 42.0 4.0 3.0 30.0 1.0
201501EO40608 1.0 22.0 -1.0 3.0 30.0 1.0
201501EO40608 1.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40609 2.0 31.0 19.0 3.0 30.0 2.0
201501EO40609 2.0 -1.0 -1.0 3.0 30.0 2.0
201501EO40611 1.0 39.0 13.0 3.0 20.0 2.0
201501EO40611 1.0 -1.0 -1.0 3.0 20.0 2.0
201501EO40614 1.0 48.0 -1.0 3.0 40.0 1.0
201501EO40614 1.0 55.0 13.0 3.0 40.0 1.0
201501EO40619 1.0 23.0 -1.0 3.0 30.0 1.0
201501EO40619 1.0 29.0 -1.0 3.0 30.0 1.0
201501EO40620 1.0 33.0 2.0 2.0 30.0 1.0
201501EO40621 1.0 47.0 5.0 3.0 30.0 1.0
201501EO40621 1.0 48.0 -1.0 3.0 30.0 1.0
201501EO40622 1.0 31.0 13.0 2.0 20.0 1.0
201501EO40622 1.0 49.0 2.0 2.0 20.0 1.0
201501EO40623 1.0 22.0 1.0 3.0 30.0 1.0
201501EO40625 1.0 26.0 7.0 3.0 30.0 1.0
201501EO40625 1.0 29.0 -1.0 3.0 30.0 1.0
201501EO40626 1.0 44.0 11.0 3.0 20.0 1.0
201501EO40626 1.0 28.0 -1.0 3.0 20.0 1.0
201501EO40627 1.0 46.0 12.0 2.0 20.0 1.0
201501EO40627 2.0 -1.0 -1.0 2.0 20.0 1.0
201501EO40627 1.0 61.0 -1.0 2.0 20.0 1.0
201501EO40628 1.0 27.0 3.0 3.0 30.0 1.0
201501EO40628 1.0 52.0 -1.0 3.0 30.0 1.0
201501EO40631 3.0 -1.0 2.0 2.0 30.0 1.0
201501EO40632 1.0 67.0 -1.0 3.0 30.0 1.0
201501EO40633 1.0 43.0 12.0 3.0 30.0 1.0
201501EO40633 2.0 58.0 7.0 3.0 30.0 1.0
201501EO40634 2.0 26.0 -1.0 3.0 30.0 2.0
201501EO40634 2.0 -1.0 -1.0 3.0 30.0 2.0
201501EO40635 1.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40635 1.0 30.0 -1.0 3.0 30.0 1.0
201501EO40637 1.0 -1.0 4.0 3.0 30.0 2.0
201501EO40637 2.0 38.0 -1.0 3.0 30.0 2.0
201501EO40638 1.0 -1.0 1.0 3.0 30.0 1.0
201501EO40640 1.0 44.0 -1.0 3.0 30.0 1.0
201501EO40640 1.0 32.0 8.0 3.0 30.0 1.0
201501EO40641 1.0 34.0 2.0 3.0 30.0 1.0
201501EO40641 1.0 24.0 -1.0 3.0 30.0 1.0
201501EO40642 1.0 27.0 31.0 3.0 30.0 1.0
201501EO40642 1.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40643 2.0 45.0 14.0 3.0 30.0 1.0
201501EO40643 2.0 65.0 7.0 3.0 30.0 1.0
201501EO40644 2.0 44.0 1.0 3.0 30.0 1.0
201501EO40644 1.0 29.0 14.0 3.0 30.0 1.0
201501EO40646 1.0 51.0 5.0 3.0 30.0 1.0
201501EO40646 1.0 51.0 5.0 3.0 30.0 1.0
201501EO40646 1.0 51.0 5.0 3.0 30.0 1.0
201501EO40646 1.0 51.0 5.0 3.0 30.0 1.0
201501EO40646 1.0 27.0 12.0 3.0 30.0 1.0
201501EO40647 1.0 47.0 7.0 3.0 30.0 1.0
201501EO40647 1.0 50.0 6.0 3.0 30.0 1.0
201501EO40648 1.0 29.0 8.0 3.0 30.0 1.0
201501EO40648 1.0 18.0 -1.0 3.0 30.0 1.0
201501EO40649 1.0 51.0 14.0 3.0 30.0 1.0
201501EO40649 1.0 56.0 -1.0 3.0 30.0 1.0
201501EO40650 2.0 34.0 12.0 3.0 20.0 1.0
201501EO40650 2.0 32.0 15.0 3.0 20.0 1.0
201501EO40651 1.0 29.0 5.0 3.0 30.0 1.0
201501EO40651 2.0 28.0 2.0 3.0 30.0 1.0
201501EO40651 2.0 28.0 2.0 3.0 30.0 1.0
201501EO40652 1.0 39.0 4.0 3.0 30.0 1.0
201501EO40652 1.0 32.0 12.0 3.0 30.0 1.0
201501EO40652 1.0 37.0 10.0 3.0 30.0 1.0
201501EO40653 1.0 47.0 4.0 3.0 30.0 1.0
201501EO40653 1.0 47.0 11.0 3.0 30.0 1.0
201501EO40655 1.0 38.0 12.0 3.0 30.0 1.0
201501EO40655 1.0 37.0 -1.0 3.0 30.0 1.0
201501EO40656 1.0 25.0 -1.0 3.0 30.0 1.0
201501EO40656 1.0 -1.0 10.0 3.0 30.0 1.0
201501EO40657 1.0 26.0 -1.0 3.0 20.0 1.0
201501EO40657 1.0 26.0 -1.0 3.0 20.0 1.0
201501EO40657 1.0 26.0 -1.0 3.0 20.0 1.0
201501EO40659 1.0 61.0 12.0 3.0 20.0 1.0
201501EO40659 1.0 26.0 -1.0 3.0 20.0 1.0
201501EO40660 1.0 40.0 -1.0 3.0 30.0 1.0
201501EO40660 1.0 64.0 5.0 3.0 30.0 1.0
201501EO40661 1.0 30.0 1.0 3.0 30.0 1.0
201501EO40661 2.0 24.0 32.0 3.0 30.0 1.0
201501EO40662 2.0 54.0 3.0 3.0 30.0 1.0
201501EO40662 1.0 34.0 8.0 3.0 30.0 1.0
201501EO40663 1.0 51.0 11.0 3.0 20.0 1.0
201501EO40663 1.0 23.0 9.0 3.0 20.0 1.0
201501EO40664 1.0 27.0 6.0 3.0 20.0 1.0
201501EO40664 1.0 33.0 2.0 3.0 20.0 1.0
201501EO40666 1.0 41.0 -1.0 3.0 30.0 2.0
201501EO40666 1.0 -1.0 -1.0 3.0 30.0 2.0
201501EO40667 1.0 45.0 1.0 3.0 30.0 1.0
201501EO40667 2.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40668 2.0 43.0 2.0 3.0 30.0 1.0
201501EO40669 1.0 50.0 2.0 3.0 30.0 1.0
201501EO40670 2.0 27.0 -1.0 3.0 30.0 1.0
201501EO40670 1.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40671 1.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40671 1.0 38.0 9.0 3.0 30.0 1.0
201501EO40672 1.0 -1.0 6.0 3.0 30.0 1.0
201501EO40673 1.0 37.0 -1.0 3.0 30.0 1.0
201501EO40673 1.0 17.0 5.0 3.0 30.0 1.0
201501EO40674 1.0 31.0 -1.0 3.0 20.0 1.0
201501EO40674 3.0 -1.0 -1.0 3.0 20.0 1.0
201501EO40675 1.0 24.0 4.0 3.0 30.0 1.0
201501EO40675 1.0 25.0 -1.0 3.0 30.0 1.0
201501EO40676 1.0 25.0 1.0 2.0 20.0 1.0
201501EO40677 1.0 30.0 9.0 3.0 30.0 1.0
201501EO40677 1.0 30.0 1.0 3.0 30.0 1.0
201501EO40678 1.0 11.0 -1.0 3.0 30.0 1.0
201501EO40678 2.0 28.0 -1.0 3.0 30.0 1.0
201501EO40679 1.0 50.0 -1.0 3.0 30.0 1.0
201501EO40679 1.0 46.0 -1.0 3.0 30.0 1.0
201501EO40681 2.0 -1.0 11.0 3.0 30.0 1.0
201501EO40681 1.0 24.0 10.0 3.0 30.0 1.0
201501EO40681 1.0 24.0 10.0 3.0 30.0 1.0
201501EO40681 1.0 -1.0 10.0 3.0 30.0 1.0
201501EO40683 1.0 33.0 -1.0 3.0 30.0 1.0
201501EO40683 2.0 31.0 1.0 3.0 30.0 1.0
201501EO40684 2.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40684 2.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40685 1.0 54.0 3.0 3.0 30.0 1.0
201501EO40686 2.0 25.0 11.0 3.0 30.0 1.0
201501EO40686 2.0 29.0 -1.0 3.0 30.0 1.0
201501EO40687 1.0 25.0 5.0 3.0 30.0 1.0
201501EO40687 3.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40688 1.0 43.0 12.0 3.0 30.0 1.0
201501EO40688 1.0 24.0 5.0 3.0 30.0 1.0
201501EO40690 1.0 27.0 -1.0 3.0 30.0 1.0
201501EO40691 1.0 45.0 -1.0 3.0 30.0 1.0
201501EO40692 1.0 41.0 2.0 3.0 30.0 1.0
201501EO40692 2.0 71.0 5.0 3.0 30.0 1.0
201501EO40693 1.0 27.0 14.0 3.0 30.0 1.0
201501EO40694 1.0 36.0 15.0 3.0 30.0 1.0
201501EO40694 2.0 35.0 -1.0 3.0 30.0 1.0
201501EO40695 1.0 30.0 1.0 3.0 30.0 1.0
201501EO40695 1.0 25.0 -1.0 3.0 30.0 1.0
201501EO40696 1.0 57.0 -1.0 2.0 30.0 1.0
201501EO40697 1.0 54.0 13.0 3.0 30.0 1.0
201501EO40698 1.0 -1.0 8.0 3.0 20.0 1.0
201501EO40699 1.0 38.0 -1.0 3.0 30.0 1.0
201501EO40701 1.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40703 3.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40704 1.0 24.0 12.0 3.0 30.0 1.0
201501EO40704 1.0 45.0 15.0 3.0 30.0 1.0
201501EO40704 1.0 45.0 15.0 3.0 30.0 1.0
201501EO40705 1.0 29.0 8.0 3.0 30.0 2.0
201501EO40705 1.0 22.0 9.0 3.0 30.0 2.0
201501EO40706 1.0 16.0 7.0 3.0 30.0 1.0
201501EO40706 3.0 -1.0 13.0 3.0 30.0 1.0
201501EO40707 1.0 35.0 -1.0 3.0 30.0 1.0
201501EO40707 1.0 45.0 -1.0 3.0 30.0 1.0
201501EO40708 1.0 47.0 7.0 3.0 30.0 1.0
201501EO40708 1.0 58.0 -1.0 3.0 30.0 1.0
201501EO40709 1.0 42.0 -1.0 3.0 30.0 2.0
201501EO40710 2.0 55.0 9.0 3.0 30.0 1.0
201501EO40710 1.0 24.0 10.0 3.0 30.0 1.0
201501EO40713 1.0 48.0 -1.0 3.0 30.0 1.0
201501EO40713 1.0 25.0 1.0 3.0 30.0 1.0
201501EO40714 1.0 48.0 5.0 3.0 30.0 1.0
201501EO40714 1.0 48.0 5.0 3.0 30.0 1.0
201501EO40714 1.0 38.0 -1.0 3.0 30.0 1.0
201501EO40716 1.0 20.0 11.0 3.0 30.0 1.0
201501EO40716 1.0 39.0 -1.0 3.0 30.0 1.0
201501EO40717 2.0 31.0 -1.0 3.0 30.0 1.0
201501EO40717 1.0 38.0 -1.0 3.0 30.0 1.0
201501EO40718 1.0 28.0 3.0 3.0 30.0 1.0
201501EO40719 1.0 24.0 1.0 3.0 30.0 1.0
201501EO40720 1.0 39.0 10.0 3.0 30.0 1.0
201501EO40720 1.0 39.0 -1.0 3.0 30.0 1.0
201501EO40721 2.0 31.0 -1.0 3.0 30.0 1.0
201501EO40721 3.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40722 1.0 24.0 -1.0 2.0 30.0 2.0
201501EO40722 3.0 -1.0 -1.0 2.0 30.0 2.0
201501EO40723 1.0 27.0 7.0 3.0 20.0 1.0
201501EO40724 1.0 48.0 13.0 3.0 30.0 1.0
201501EO40724 1.0 32.0 -1.0 3.0 30.0 1.0
201501EO40725 2.0 60.0 2.0 2.0 20.0 1.0
201501EO40726 1.0 42.0 -1.0 3.0 20.0 1.0
201501EO40726 3.0 -1.0 -1.0 3.0 20.0 1.0
201501EO40727 1.0 26.0 13.0 3.0 30.0 1.0
201501EO40727 1.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40728 1.0 22.0 4.0 2.0 30.0 1.0
201501EO40728 1.0 38.0 7.0 2.0 30.0 1.0
201501EO40729 1.0 24.0 5.0 3.0 30.0 1.0
201501EO40729 3.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40730 1.0 36.0 3.0 2.0 20.0 1.0
201501EO40730 1.0 40.0 -1.0 2.0 20.0 1.0
201501EO40731 1.0 30.0 2.0 3.0 20.0 1.0
201501EO40731 1.0 33.0 2.0 3.0 20.0 1.0
201501EO40732 1.0 52.0 -1.0 3.0 20.0 1.0
201501EO40733 1.0 54.0 -1.0 3.0 20.0 1.0
201501EO40734 2.0 26.0 -1.0 3.0 20.0 1.0
201501EO40734 1.0 29.0 3.0 3.0 20.0 1.0
201501EO40735 1.0 21.0 2.0 3.0 30.0 1.0
201501EO40735 1.0 21.0 2.0 3.0 30.0 1.0
201501EO40736 1.0 41.0 7.0 3.0 20.0 1.0
201501EO40736 1.0 -1.0 11.0 3.0 20.0 1.0
201501EO40737 1.0 55.0 7.0 3.0 20.0 1.0
201501EO40737 1.0 30.0 -1.0 3.0 20.0 1.0
201501EO40738 1.0 22.0 -1.0 3.0 30.0 1.0
201501EO40738 1.0 44.0 -1.0 3.0 30.0 1.0
201501EO40739 1.0 26.0 10.0 2.0 20.0 1.0
201501EO40740 1.0 46.0 3.0 3.0 30.0 1.0
201501EO40740 1.0 44.0 6.0 3.0 30.0 1.0
201501EO40741 1.0 -1.0 6.0 3.0 30.0 2.0
201501EO40742 1.0 42.0 18.0 3.0 20.0 1.0
201501EO40742 2.0 34.0 7.0 3.0 20.0 1.0
201501EO40742 2.0 34.0 7.0 3.0 20.0 1.0
201501EO40743 2.0 28.0 12.0 3.0 20.0 1.0
201501EO40743 2.0 28.0 12.0 3.0 20.0 1.0
201501EO40743 2.0 28.0 12.0 3.0 20.0 1.0
201501EO40743 1.0 27.0 11.0 3.0 20.0 1.0
201501EO40744 1.0 31.0 -1.0 3.0 30.0 2.0
201501EO40744 1.0 -1.0 9.0 3.0 30.0 2.0
201501EO40745 1.0 31.0 2.0 3.0 30.0 1.0
201501EO40745 1.0 54.0 13.0 3.0 30.0 1.0
201501EO40746 3.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40747 1.0 32.0 3.0 3.0 20.0 1.0
201501EO40747 1.0 36.0 4.0 3.0 20.0 1.0
201501EO40748 3.0 -1.0 13.0 3.0 20.0 2.0
201501EO40748 1.0 -1.0 -1.0 3.0 20.0 2.0
201501EO40749 1.0 48.0 3.0 3.0 30.0 1.0
201501EO40749 1.0 35.0 -1.0 3.0 30.0 1.0
201501EO40750 1.0 60.0 13.0 3.0 30.0 1.0
201501EO40750 1.0 50.0 -1.0 3.0 30.0 1.0
201501EO40752 2.0 32.0 -1.0 3.0 30.0 1.0
201501EO40752 3.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40753 1.0 27.0 3.0 3.0 30.0 1.0
201501EO40753 1.0 27.0 -1.0 3.0 30.0 1.0
201501EO40754 1.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40754 2.0 77.0 12.0 3.0 30.0 1.0
201501EO40755 1.0 59.0 -1.0 3.0 30.0 1.0
201501EO40755 1.0 27.0 -1.0 3.0 30.0 1.0
201501EO40756 1.0 45.0 -1.0 3.0 30.0 1.0
201501EO40756 3.0 -1.0 -1.0 3.0 30.0 1.0
201501EO40757 1.0 34.0 7.0 3.0 30.0 1.0
201501EO40757 1.0 34.0 7.0 3.0 30.0 1.0
201501EO40759 2.0 31.0 -1.0 3.0 30.0 2.0
