a accidentIndex
b sexOfDriver
c ageOfDriver
d ageOfVehicle
e accidentSeverity
f speedLimit
g didPoliceOfficerAttendSceneOfAccident

a             b   c    d    e   f    g
201506F001977 2.0 25.0 8.0 3.0 30.0 1.0
201506F001977 1.0 51.0 -1.0 3.0 30.0 1.0
201506F002062 1.0 25.0 9.0 2.0 30.0 1.0
201506F002062 2.0 26.0 3.0 2.0 30.0 1.0
201506F002121 1.0 27.0 -1.0 2.0 30.0 1.0
201506F002121 1.0 30.0 5.0 2.0 30.0 1.0
201506F002125 1.0 36.0 16.0 2.0 30.0 1.0
201506F002125 1.0 33.0 13.0 2.0 30.0 1.0
201506F002125 1.0 49.0 20.0 2.0 30.0 1.0
201506F002125 1.0 66.0 2.0 2.0 30.0 1.0
201506F002212 1.0 34.0 15.0 3.0 30.0 1.0
201506F002212 1.0 65.0 11.0 3.0 30.0 1.0
201506F002238 1.0 50.0 2.0 3.0 30.0 1.0
201506F002238 2.0 24.0 1.0 3.0 30.0 1.0
201506F002238 2.0 24.0 1.0 3.0 30.0 1.0
201506F002321 1.0 27.0 -1.0 3.0 30.0 1.0
201506F002321 1.0 31.0 -1.0 3.0 30.0 1.0
201506F002326 1.0 30.0 10.0 3.0 30.0 1.0
201506F002326 1.0 31.0 5.0 3.0 30.0 1.0
201506F002326 1.0 30.0 1.0 3.0 30.0 1.0
201506F002511 1.0 27.0 -1.0 3.0 20.0 1.0
201506F002511 2.0 37.0 11.0 3.0 20.0 1.0
201506F002588 2.0 74.0 1.0 3.0 30.0 2.0
201506F002588 1.0 30.0 -1.0 3.0 30.0 2.0
201506F002690 1.0 21.0 10.0 2.0 30.0 1.0
201506F002690 1.0 21.0 10.0 2.0 30.0 1.0
201506F002748 2.0 92.0 19.0 3.0 30.0 1.0
201506F002748 1.0 32.0 8.0 3.0 30.0 1.0
201506F002802 2.0 65.0 3.0 3.0 30.0 1.0
201506F002866 1.0 30.0 8.0 3.0 30.0 1.0
201506F002866 1.0 28.0 1.0 3.0 30.0 1.0
201506F002866 1.0 28.0 1.0 3.0 30.0 1.0
201506F002866 3.0 43.0 6.0 3.0 30.0 1.0
201506F002892 1.0 57.0 16.0 3.0 50.0 1.0
201506F002892 1.0 37.0 1.0 3.0 50.0 1.0
201506F002892 1.0 68.0 3.0 3.0 50.0 1.0
201506F002892 1.0 60.0 -1.0 3.0 50.0 1.0
201506F002961 1.0 20.0 -1.0 3.0 30.0 1.0
201506F002961 2.0 32.0 2.0 3.0 30.0 1.0
201506F002961 2.0 32.0 2.0 3.0 30.0 1.0
201506F002975 1.0 55.0 1.0 3.0 30.0 1.0
201506F003017 1.0 34.0 9.0 3.0 50.0 1.0
201506F003017 1.0 26.0 3.0 3.0 50.0 1.0
201506F003017 1.0 49.0 -1.0 3.0 50.0 1.0
201506F003289 1.0 22.0 9.0 3.0 30.0 1.0
201506F003289 2.0 68.0 9.0 3.0 30.0 1.0
201506F003319 1.0 19.0 -1.0 1.0 30.0 1.0
201506F003320 1.0 24.0 -1.0 3.0 30.0 1.0
201506F003320 2.0 46.0 2.0 3.0 30.0 1.0
201506F003397 1.0 32.0 20.0 3.0 30.0 1.0
201506F003397 1.0 81.0 12.0 3.0 30.0 1.0
201506F003417 2.0 49.0 7.0 3.0 30.0 1.0
201506F003417 1.0 40.0 -1.0 3.0 30.0 1.0
201506F003493 1.0 68.0 3.0 3.0 30.0 1.0
201506F003493 1.0 56.0 14.0 3.0 30.0 1.0
201506F003590 1.0 75.0 7.0 3.0 30.0 1.0
201506F003590 1.0 58.0 2.0 3.0 30.0 1.0
201506F003724 1.0 31.0 1.0 3.0 30.0 1.0
201506F003724 1.0 24.0 8.0 3.0 30.0 1.0
201506F003724 1.0 24.0 8.0 3.0 30.0 1.0
201506F003728 1.0 49.0 9.0 2.0 30.0 1.0
201506F003728 2.0 22.0 2.0 2.0 30.0 1.0
201506F003741 1.0 9.0 -1.0 3.0 30.0 1.0
201506F003741 2.0 18.0 10.0 3.0 30.0 1.0
201506F003846 1.0 27.0 9.0 3.0 30.0 1.0
201506F003863 1.0 32.0 -1.0 3.0 40.0 1.0
201506F003863 1.0 40.0 5.0 3.0 40.0 1.0
201506F003865 1.0 38.0 16.0 3.0 50.0 1.0
201506F003865 2.0 30.0 1.0 3.0 50.0 1.0
201506F003879 1.0 26.0 5.0 2.0 30.0 1.0
201506F003879 1.0 49.0 7.0 2.0 30.0 1.0
201506F003919 1.0 47.0 12.0 3.0 30.0 1.0
